uniprot_id,domain_Archaea,domain_Bacteria,domain_Eukarya
A3MVR8,1,0,0
F9VMI9,1,0,0
Q4J702,1,0,0
Q5JI09,1,0,0
C7IV28,0,1,0
Q9HIM3,1,0,0
Q6L0S1,1,0,0
D4GSN2,1,0,0
H9ZGN0,0,0,1
G3FFC9,0,0,1
V9SCJ1,0,0,1
V9SDP6,0,0,1
V9SFA1,0,0,1
B2KJ46,0,0,1
Q8L3C9,0,1,0
Q70FD1,0,0,1
Q86RB1,0,0,1
A5HIF6,0,1,0
Q31QF3,0,1,0
P07913,0,1,0
E5RQ20,0,1,0
Q8KZM4,0,1,0
Q76KC2,0,1,0
Q308C1,0,1,0
Q04212,0,0,1
H6WCP4,0,0,1
Q763T4,0,0,1
B6HI95,0,0,1
Q1ACW3,0,0,1
Q1J2J0,0,1,0
P9WQP7,0,1,0
Q1MLL4,0,1,0
Q5JGC2,1,0,0
A0A0J9X283,0,1,0
O96437,0,0,1
C7FDI4,0,0,1
D7FMJ8,0,0,1
D8LI09,0,0,1
P53199,0,0,1
Q5UY95,1,0,0
Q9X265,0,1,0
Q5FQJ0,0,1,0
Q7S3U4,0,0,1
A0A0E4AX59,0,0,1
A0A0E4AY21,0,0,1
A4ISB9,0,1,0
A4IP64,0,1,0
P25539,0,1,0
P17618,0,1,0
O73949,1,0,0
U6CL97,0,1,0
A3GHR6,0,0,1
A3GHL4,0,0,1
A7B4V1,0,1,0
A0A0C1Q6R1,0,1,0
A0NIJ1,0,1,0
A0A0K2E8F8,0,1,0
P99106,0,1,0
A1KU15,0,1,0
Q5ZUR9,0,1,0
Q81W29,0,1,0
Q4VRV8,0,0,1
D1MF29,0,1,0
Q2SWW9,0,1,0
Q59Q46,0,0,1
A4PIB0,0,1,0
Q5FTU6,0,1,0
C4R4L0,0,0,1
C9E261,0,1,0
W0A856,0,1,0
B5L017,0,0,1
Q9X5C9,0,1,0
P95001,0,1,0
A0A1K3RIC7,0,1,0
A5U5Q2,0,1,0
Q56S04,0,1,0
P15770,0,1,0
Q6W3D0,0,0,1
Q5HNV1,0,1,0
Q88RQ5,0,1,0
Q88K85,0,1,0
Q88IJ7,0,1,0
Q88GF6,0,1,0
Q88JP1,0,1,0
Q9C4M5,1,0,0
Q9WZZ1,0,1,0
Q5SJA1,0,1,0
B1A4R6,0,1,0
P00344,0,1,0
W8CXQ9,0,1,0
P0C2T6,0,1,0
P50933,0,1,0
Q2VEQ7,1,0,0
F8A9V0,0,1,0
Q8RG11,0,1,0
A0A140N893,0,1,0
C0LJH4,0,1,0
Q9I530,0,1,0
Q9AKS9,0,1,0
A0A0E4AX59,0,0,1
A0A0E4AY21,0,0,1
Q5JFV8,1,0,0
Q308C1,0,1,0
Q58LW6,0,1,0
A4YI81,1,0,0
Q6QQP7,0,1,0
F9VNG5,1,0,0
Q56R01,0,1,0
Q5AIA2,0,0,1
Q58085,1,0,0
O66747,0,1,0
C5J3R6,0,0,1
A9QVV8,0,0,1
Q6Y0Z3,0,0,1
A0MTG4,0,0,1
Q46N53,0,1,0
Q5P5I4,0,1,0
A0A0H4SN47,0,0,1
P09347,0,1,0
Q59468,1,0,0
I7CKJ5,0,0,1
E5F146,0,1,0
Q48534,0,1,0
D3RXI4,1,0,0
Q9I1X3,0,1,0
Q6L047,1,0,0
O87871,0,1,0
A3MWU9,1,0,0
O08349,1,0,0
P10584,0,1,0
P80040,0,1,0
Q8X1C8,0,0,1
Q8TG27,0,0,1
Q9K3J3,0,1,0
G4T3S9,0,1,0
P40332,0,1,0
Q6M0B9,1,0,0
D4GP33,1,0,0
Q53TZ2,0,1,0
P26616,0,1,0
E1V4Y1,0,1,0
P39831,0,1,0
Q05016,0,0,1
B3TMR8,0,1,0
Q9I5I6,0,1,0
A4F2S6,0,1,0
B6E9W4,0,1,0
C8WJW0,0,1,0
C8WGQ3,0,1,0
A7AZH2,0,1,0
E7EKB8,0,1,0
A0A0E4A9D6,0,1,0
Q5JGC7,1,0,0
P76558,0,1,0
Q717I9,0,0,1
Q9F3K4,0,1,0
A6XP72,0,0,1
A4ADB8,0,1,0
Q9HLV8,1,0,0
B7GQR3,0,1,0
B2ZAA4,0,1,0
A8YGS2,0,1,0
Q1XIQ8,0,1,0
Q1XIQ9,0,1,0
Q2RIZ2,0,1,0
Q6NHC5,0,1,0
P31072,0,0,1
Q6WAT5,0,0,1
Q8GQE7,0,1,0
A6N8S2,0,1,0
P39485,0,1,0
Q9I1X3,0,1,0
A0A0H3FYM1,0,1,0
A6TGD6,0,1,0
Q9WYD4,0,1,0
R9UHL6,0,0,1
Q9HMB6,1,0,0
D4GP73,1,0,0
U6CL97,0,1,0
A0JC04,0,0,1
A1IG83,0,1,0
M4N626,0,1,0
Q00055,0,0,1
A0A060KZ16,0,0,1
A0A140JW77,0,0,1
A0A140JW76,0,0,1
P76251,0,1,0
P50455,1,0,0
D3PT81,0,1,0
A4CYJ9,1,0,0
Q5SIJ1,0,1,0
P40495,0,0,1
Q2K0Q7,0,1,0
Q86ZV0,0,0,1
Q6KAV2,0,0,1
A3FJ51,0,1,0
A3FJ49,0,1,0
C7G3B7,0,1,0
C7G3B8,0,1,0
C9K501,0,1,0
C9K502,0,1,0
C9K504,0,1,0
C9W9E3,0,1,0
D2SZY4,0,1,0
D2SZY5,0,1,0
Q6UG02,0,0,1
Q5NT46,0,1,0
T2M2J4,0,0,1
C8CCV9,0,0,1
Q9HFQ1,0,0,1
Q0PGS3,0,0,1
A0A068CB13,0,0,1
K9L4P7,0,0,1
A0LST6,0,1,0
D5KB61,0,1,0
Q8EEB0,0,1,0
H9NJ52,0,1,0
X5IDD2,0,1,0
D7VYA1,0,1,0
Q93RE1,0,1,0
E4WKM2,0,1,0
A7LGL0,0,1,0
A0A145Y386,0,0,1
I7FDJ2,0,0,1
O94219,0,0,1
V5NQ89,0,0,1
S6D3Q2,0,1,0
P15877,0,1,0
Q9HVF1,0,1,0
Q5ECC3,0,1,0
A0A1E1GL61,0,0,1
A0A1E1GL87,0,0,1
Q0CDD9,0,0,1
O28443,1,0,0
A0A140CUL9,0,1,0
Q9P8H5,0,0,1
S5RVR8,0,0,1
Q7Z975,0,0,1
Q01738,0,0,1
Q6AW20,0,0,1
Q6BDD5,0,0,1
S5R9V1,0,0,1
O42729,0,0,1
Q875J3,0,0,1
B6D1P2,0,0,1
Q2UNF9,0,0,1
B5G555,0,0,1
C1JCL7,0,0,1
O60199,0,0,1
Q02497,0,0,1
B0JDP9,0,0,1
Q8X1D1,0,0,1
H9C4A3,0,0,1
A8N3P5,0,0,1
A3F8Z8,0,0,1
Q97D83,0,1,0
B5U990,0,0,1
P11542,0,0,1
Q97WG5,1,0,0
O83522,0,1,0
Q9PER7,0,1,0
Q47KB1,0,1,0
T1SP91,0,1,0
O28050,1,0,0
Q939D2,0,1,0
Q6LA34,1,0,0
L8B3D7,0,1,0
P08303,0,1,0
P26901,0,1,0
Q9AQQ9,0,1,0
D7RJ66,0,1,0
Q8L2Z7,0,1,0
A0A0T6DN91,0,1,0
Q5F809,0,1,0
P22317,0,1,0
P22320,0,1,0
P22318,0,1,0
P22319,0,1,0
Q8NKS2,1,0,0
Q8NKS3,1,0,0
Q8NKS4,1,0,0
Q8NKS5,1,0,0
P32440,1,0,0
A7LBQ5,0,1,0
A7LBQ4,0,1,0
A9V766,0,0,1
A5HMH3,0,1,0
A7LB47,0,1,0
Q0K029,0,1,0
A7Y9J1,0,0,1
Q6KZ98,1,0,0
Q9I4G8,0,1,0
Q3BEM2,0,1,0
B0BK98,0,1,0
B0BK99,0,1,0
Q6QF56,0,1,0
Q6QF57,0,1,0
A9QT35,0,1,0
Q8KRD4,0,1,0
G4NAP4,0,0,1
Q7WSQ7,0,1,0
Q88E47,0,1,0
A9UVU0,0,0,1
P29082,1,0,0
A0A1W1WDM4,0,1,0
F8I6C7,0,1,0
Q5NTE5,0,1,0
F9FU71,0,0,1
A0A0S2SWE4,0,0,1
Q01284,0,0,1
P32021,0,1,0
P06617,0,1,0
Q70GL3,0,0,1
P39956,0,0,1
P32021,0,1,0
Q6WZB0,0,1,0
S5SPJ1,0,1,0
A0A1R1AUM9,0,1,0
Q8GI16,0,1,0
Q9EUT9,0,1,0
Q4H2B4,0,0,1
P71875,0,1,0
P9WJ93,0,1,0
B1N1A2,0,1,0
F8G0M4,0,1,0
P32009,0,1,0
Q9I0Q0,0,1,0
Q51548,0,1,0
B8QHP3,0,0,1
B8QHP5,0,0,1
Q9S3U8,0,1,0
Q5EXK1,0,1,0
Q8NLB6,0,1,0
Q9F131,0,1,0
O87082,0,1,0
A5HMH6,0,1,0
A5HMH7,0,1,0
A5HMH8,0,1,0
A5HMH9,0,1,0
A5HMI0,0,1,0
A5HMI1,0,1,0
Q3HTM1,0,1,0
A1XG20,0,0,1
Q93TJ5,0,1,0
Q52TE7,0,1,0
P9WJA1,0,1,0
Q603D5,0,1,0
A7LCL0,0,1,0
A7LCL1,0,1,0
A0A069AW73,0,1,0
B2CML6,0,1,0
O85057,0,1,0
Q9WWW6,0,1,0
Q06069,0,1,0
F5BFC8,0,1,0
B2Z3P7,0,1,0
P11935,0,0,1
Q2IU02,0,1,0
A5JZ19,0,0,1
C9QNK6,0,0,1
P75898,0,1,0
G7CFI3,0,1,0
B2AVF1,0,0,1
B2B629,0,0,1
Q7SCE9,0,0,1
A4Y0Y8,0,1,0
O69002,0,1,0
Q9HWR4,0,1,0
Q88JR7,0,1,0
Q88P48,0,1,0
Q4K657,0,1,0
Q4K7S1,0,1,0
Q885D4,0,1,0
Q887K9,0,1,0
D9Q0R7,1,0,0
P80857,1,0,0
M9QJD2,0,1,0
Q1HEQ0,0,0,1
F8V325,0,0,1
A3RLW7,0,0,1
A3NS93,0,1,0
P81527,0,1,0
J7H7U2,0,1,0
A9U908,0,1,0
J7HET3,0,1,0
B0B552,0,0,1
P84612,0,1,0
D9J041,0,1,0
E0XF09,0,1,0
Q8DL82,0,1,0
O54050,0,1,0
B1PHD1,0,1,0
B1PHD2,0,1,0
B1PHD3,0,1,0
G2QB71,0,0,1
W1Q801,0,0,1
Q845T0,0,1,0
P33677,0,0,1
E7FHX6,1,0,0
O67625,0,1,0
Q0VTB0,0,1,0
Q96YN9,1,0,0
O05268,0,1,0
A0ZSY5,0,0,1
Q0VTC7,0,1,0
P9WNX5,0,1,0
