uniprot_id,ec
A3MVR8,1.1.1.1
F9VMI9,1.1.1.1
Q4J702,1.1.1.1
Q5JI09,1.1.1.1
C7IV28,1.1.1.1
Q9HIM3,1.1.1.1
Q6L0S1,1.1.1.1
D4GSN2,1.1.1.1
H9ZGN0,1.1.1.1
G3FFC9,1.1.1.1
V9SCJ1,1.1.1.1
V9SDP6,1.1.1.1
V9SFA1,1.1.1.1
B2KJ46,1.1.1.1
Q8L3C9,1.1.1.1
Q70FD1,1.1.1.10
Q86RB1,1.1.1.100
A5HIF6,1.1.1.100
Q31QF3,1.1.1.100
P07913,1.1.1.103
E5RQ20,1.1.1.103
Q8KZM4,1.1.1.103
Q76KC2,1.1.1.107
Q308C1,1.1.1.11
Q04212,1.1.1.116
H6WCP4,1.1.1.12
Q763T4,1.1.1.12
B6HI95,1.1.1.12
Q1ACW3,1.1.1.138
Q1J2J0,1.1.1.14
P9WQP7,1.1.1.145
Q1MLL4,1.1.1.16
Q5JGC2,1.1.1.169
A0A0J9X283,1.1.1.169
O96437,1.1.1.17
C7FDI4,1.1.1.17
D7FMJ8,1.1.1.17
D8LI09,1.1.1.17
P53199,1.1.1.170
Q5UY95,1.1.1.179
Q9X265,1.1.1.184
Q5FQJ0,1.1.1.184
Q7S3U4,1.1.1.184
A0A0E4AX59,1.1.1.184
A0A0E4AY21,1.1.1.184
A4ISB9,1.1.1.192
A4IP64,1.1.1.192
P25539,1.1.1.193
P17618,1.1.1.193
O73949,1.1.1.2
U6CL97,1.1.1.2
A3GHR6,1.1.1.2
A3GHL4,1.1.1.2
A7B4V1,1.1.1.201
A0A0C1Q6R1,1.1.1.202
A0NIJ1,1.1.1.202
A0A0K2E8F8,1.1.1.205
P99106,1.1.1.205
A1KU15,1.1.1.205
Q5ZUR9,1.1.1.205
Q81W29,1.1.1.205
Q4VRV8,1.1.1.205
D1MF29,1.1.1.205
Q2SWW9,1.1.1.205
Q59Q46,1.1.1.205
A4PIB0,1.1.1.215
Q5FTU6,1.1.1.215
C4R4L0,1.1.1.219
C9E261,1.1.1.22
W0A856,1.1.1.22
B5L017,1.1.1.22
Q9X5C9,1.1.1.24
P95001,1.1.1.25
A0A1K3RIC7,1.1.1.25
A5U5Q2,1.1.1.25
Q56S04,1.1.1.25
P15770,1.1.1.25
Q6W3D0,1.1.1.25
Q5HNV1,1.1.1.25
Q88RQ5,1.1.1.25
Q88K85,1.1.1.25
Q88IJ7,1.1.1.25
Q88GF6,1.1.1.25
Q88JP1,1.1.1.25
Q9C4M5,1.1.1.26
Q9WZZ1,1.1.1.267
Q5SJA1,1.1.1.27
B1A4R6,1.1.1.27
P00344,1.1.1.27
W8CXQ9,1.1.1.27
P0C2T6,1.1.1.27
P50933,1.1.1.27
Q2VEQ7,1.1.1.272
F8A9V0,1.1.1.28
Q8RG11,1.1.1.28
A0A140N893,1.1.1.28
C0LJH4,1.1.1.28
Q9I530,1.1.1.28
Q9AKS9,1.1.1.28
A0A0E4AX59,1.1.1.283
A0A0E4AY21,1.1.1.283
Q5JFV8,1.1.1.286
Q308C1,1.1.1.287
Q58LW6,1.1.1.287
A4YI81,1.1.1.298
Q6QQP7,1.1.1.298
F9VNG5,1.1.1.3
Q56R01,1.1.1.3
Q5AIA2,1.1.1.3
Q58085,1.1.1.302
O66747,1.1.1.302
C5J3R6,1.1.1.307
A9QVV8,1.1.1.307
Q6Y0Z3,1.1.1.307
A0MTG4,1.1.1.307
Q46N53,1.1.1.308
Q5P5I4,1.1.1.311
A0A0H4SN47,1.1.1.320
P09347,1.1.1.327
Q59468,1.1.1.34
I7CKJ5,1.1.1.34
E5F146,1.1.1.344
Q48534,1.1.1.345
D3RXI4,1.1.1.35
Q9I1X3,1.1.1.357
Q6L047,1.1.1.360
O87871,1.1.1.368
A3MWU9,1.1.1.37
O08349,1.1.1.37
P10584,1.1.1.37
P80040,1.1.1.37
Q8X1C8,1.1.1.37
Q8TG27,1.1.1.37
Q9K3J3,1.1.1.37
G4T3S9,1.1.1.37
P40332,1.1.1.370
Q6M0B9,1.1.1.374
D4GP33,1.1.1.376
Q53TZ2,1.1.1.376
P26616,1.1.1.38
E1V4Y1,1.1.1.380
P39831,1.1.1.381
Q05016,1.1.1.381
B3TMR8,1.1.1.384
Q9I5I6,1.1.1.387
A4F2S6,1.1.1.39
B6E9W4,1.1.1.39
C8WJW0,1.1.1.391
C8WGQ3,1.1.1.391
A7AZH2,1.1.1.393
E7EKB8,1.1.1.4
A0A0E4A9D6,1.1.1.4
Q5JGC7,1.1.1.40
P76558,1.1.1.40
Q717I9,1.1.1.40
Q9F3K4,1.1.1.40
A6XP72,1.1.1.40
P0DOW0,1.1.1.401
A4ADB8,1.1.1.41
Q9HLV8,1.1.1.42
B7GQR3,1.1.1.42
B2ZAA4,1.1.1.42
A8YGS2,1.1.1.42
Q1XIQ8,1.1.1.42
Q1XIQ9,1.1.1.42
Q2RIZ2,1.1.1.44
Q6NHC5,1.1.1.44
P31072,1.1.1.44
Q6WAT5,1.1.1.44
Q8GQE7,1.1.1.47
A6N8S2,1.1.1.47
P39485,1.1.1.47
Q9I1X3,1.1.1.50
A0A0H3FYM1,1.1.1.56
