ec	uniprot_id	domain	organism	ogt	ogt_source	topt	topt_source
1.1.1.1	A3MVR8	Archaea	pyrobaculum_calidifontis	90	experimental	80	experimental
1.1.1.1	F9VMI9	Archaea	sulfolobus_tokodaii	75	experimental	68	experimental
1.1.1.1	Q4J702	Archaea	sulfolobus_acidocaldarius	71	experimental	70	experimental
1.1.1.1	Q5JI09	Archaea	thermococcus_kodakarensis	60	experimental	90	experimental
1.1.1.1	C7IV28	Bacteria	thermoanaerobacter_ethanolicus	60	experimental	60	experimental
1.1.1.1	Q9HIM3	Archaea	thermoplasma_acidophilum	57	experimental	75	experimental
1.1.1.1	Q6L0S1	Archaea	picrophilus_torridus	55	experimental	83	experimental
1.1.1.1	D4GSN2	Archaea	haloferax_volcanii	36	experimental	80	experimental
1.1.1.1	H9ZGN0	Eukarya	ogataea_parapolymorpha	27	predicted	22	experimental
1.1.1.1	G3FFC9	Eukarya	kluyveromyces_marxianus	25	experimental	50	experimental
1.1.1.1	V9SCJ1	Eukarya	kluyveromyces_marxianus	25	experimental	50	experimental
1.1.1.1	V9SDP6	Eukarya	kluyveromyces_marxianus	25	experimental	50	experimental
1.1.1.1	V9SFA1	Eukarya	kluyveromyces_marxianus	25	experimental	50	experimental
1.1.1.1	B2KJ46	Eukarya	candida_parapsilosis	25	experimental	35	experimental
1.1.1.1	Q8L3C9	Bacteria	flavobacterium_frigidimaris	22	experimental	70	experimental
1.1.1.10	Q70FD1	Eukarya	ambrosiozyma_monospora	25	experimental	30	experimental
1.1.1.100	Q86RB1	Eukarya	plasmodium_falciparum	37	experimental	25	experimental
1.1.1.100	A5HIF6	Bacteria	pseudomonas_putida	28	experimental	30	experimental
1.1.1.100	Q31QF3	Bacteria	synechococcus_elongatus	24	experimental	44	experimental
1.1.1.103	P07913	Bacteria	escherichia_coli	36	experimental	39	experimental
1.1.1.103	E5RQ20	Bacteria	cupriavidus_necator	29	experimental	75	experimental
1.1.1.103	Q8KZM4	Bacteria	flavobacterium_frigidimaris	22	experimental	45	experimental
1.1.1.107	Q76KC2	Bacteria	microbacterium_luteolum	30	experimental	30	experimental
1.1.1.11	Q308C1	Bacteria	gluconobacter_oxydans	27	experimental	30	experimental
1.1.1.116	Q04212	Eukarya	saccharomyces_cerevisiae	28	experimental	25	experimental
1.1.1.12	H6WCP4	Eukarya	aspergillus_tubingensis	25	experimental	30	experimental
1.1.1.12	Q763T4	Eukarya	aspergillus_oryzae	25	experimental	25	experimental
1.1.1.12	B6HI95	Eukarya	penicillium_rubens	24	experimental	45	experimental
1.1.1.138	Q1ACW3	Eukarya	tuber_borchii	23	experimental	39	experimental
1.1.1.14	Q1J2J0	Bacteria	deinococcus_geothermalis	45	experimental	45	experimental
1.1.1.145	P9WQP7	Bacteria	mycobacterium_tuberculosis	37	experimental	30	experimental
1.1.1.16	Q1MLL4	Bacteria	rhizobium_leguminosarum	26	experimental	35	experimental
1.1.1.169	Q5JGC2	Archaea	thermococcus_kodakarensis	60	experimental	90	experimental
1.1.1.169	A0A0J9X283	Bacteria	staphylococcus_aureus	37	experimental	25	experimental
1.1.1.17	O96437	Eukarya	eimeria_tenella	41	predicted	50	experimental
1.1.1.17	C7FDI4	Eukarya	beauveria_bassiana	24	experimental	37	experimental
1.1.1.17	D7FMJ8	Eukarya	ectocarpus_siliculosus	10	experimental	30	experimental
1.1.1.17	D8LI09	Eukarya	ectocarpus_siliculosus	10	experimental	30	experimental
1.1.1.170	P53199	Eukarya	saccharomyces_cerevisiae	28	experimental	30	experimental
1.1.1.179	Q5UY95	Archaea	haloarcula_marismortui	37	experimental	44	experimental
1.1.1.184	Q9X265	Bacteria	thermotoga_maritima	75	experimental	75	experimental
1.1.1.184	Q5FQJ0	Bacteria	gluconobacter_oxydans	27	experimental	35	experimental
1.1.1.184	Q7S3U4	Eukarya	neurospora_crassa	25	experimental	33	experimental
1.1.1.184	A0A0E4AX59	Eukarya	kluyveromyces_marxianus	25	experimental	48	experimental
1.1.1.184	A0A0E4AY21	Eukarya	kluyveromyces_marxianus	25	experimental	48	experimental
1.1.1.192	A4ISB9	Bacteria	geobacillus_thermodenitrificans	57	experimental	60	experimental
1.1.1.192	A4IP64	Bacteria	geobacillus_thermodenitrificans	57	experimental	60	experimental
1.1.1.193	P25539	Bacteria	escherichia_coli	36	experimental	37	experimental
1.1.1.193	P17618	Bacteria	bacillus_subtilis	30	experimental	37	experimental
1.1.1.2	O73949	Archaea	pyrococcus_furiosus	96	experimental	80	experimental
1.1.1.2	U6CL97	Bacteria	pectobacterium_atrosepticum	27	experimental	40	experimental
1.1.1.2	A3GHR6	Eukarya	scheffersomyces_stipitis	26	experimental	30	experimental
1.1.1.2	A3GHL4	Eukarya	scheffersomyces_stipitis	26	experimental	30	experimental
1.1.1.201	A7B4V1	Bacteria	ruminococcus_gnavus	37	experimental	37	experimental
1.1.1.202	A0A0C1Q6R1	Bacteria	lactobacillus_brevis	33	experimental	31	experimental
1.1.1.202	A0NIJ1	Bacteria	oenococcus_oeni	29	experimental	55	experimental
1.1.1.205	A0A0K2E8F8	Bacteria	streptococcus_suis	37	experimental	37	experimental
1.1.1.205	P99106	Bacteria	staphylococcus_aureus	37	experimental	30	experimental
1.1.1.205	A1KU15	Bacteria	neisseria_meningitidis	37	experimental	30	experimental
1.1.1.205	Q5ZUR9	Bacteria	legionella_pneumophila	37	experimental	30	experimental
1.1.1.205	Q81W29	Bacteria	bacillus_anthracis	37	experimental	30	experimental
1.1.1.205	Q4VRV8	Eukarya	toxoplasma_gondii	35	experimental	37	experimental
1.1.1.205	D1MF29	Bacteria	bacillus_amyloliquefaciens	31	experimental	40	experimental
1.1.1.205	Q2SWW9	Bacteria	burkholderia_thailandensis	29	experimental	30	experimental
1.1.1.205	Q59Q46	Eukarya	candida_albicans	26	experimental	25	experimental
1.1.1.215	A4PIB0	Bacteria	gluconobacter_frateurii	28	experimental	25	experimental
1.1.1.215	Q5FTU6	Bacteria	gluconobacter_oxydans	27	experimental	25	experimental
1.1.1.219	C4R4L0	Eukarya	komagataella_phaffii	22	experimental	43	experimental
1.1.1.22	C9E261	Bacteria	burkholderia_cepacia	30	experimental	30	experimental
1.1.1.22	W0A856	Bacteria	sphingomonas_sanxanigenens	29	experimental	35	experimental
1.1.1.22	B5L017	Eukarya	phoma_herbarum	24	experimental	35	experimental
1.1.1.24	Q9X5C9	Bacteria	corynebacterium_glutamicum	31	experimental	30	experimental
1.1.1.25	P95001	Bacteria	mycobacterium_tuberculosis	37	experimental	25	experimental
